comb_total_value,comb_number_of_invoices,comb_avg_invoice_value,comb_min_invoice_value,comb_max_invoice_value,comb_value_spread,comb_max_invoice_ratio,comb_min_invoice_ratio,comb_avg_invoice_ratio,comb_value_std,comb_overdue_count,comb_overdue_ratio,comb_avg_days_overdue,comb_max_days_overdue,comb_oldest_age,comb_newest_age,comb_age_spread,comb_avg_age,cust_num_payments,cust_avg_payment_amount,cust_avg_invoices_per_payment,cust_avg_days_overdue_hist,cust_pattern_overdue_pref,cust_pattern_highest_val_pref,cust_pattern_oldest_pref,interact_overdue_alignment,interact_value_alignment,interact_age_alignment,target_is_selected,payment_id,customer_id
5300.0,3.0,1766.6666666666667,400.0,2500.0,2100.0,0.4716981132075472,0.07547169811320754,0.33333333333333337,967.2412085697939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,1,5001,41
5300.0,4.0,1325.0,200.0,2500.0,2300.0,0.4716981132075472,0.03773584905660377,0.25,1077.903056865505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,3.0,1766.6666666666667,800.0,2500.0,1700.0,0.4716981132075472,0.1509433962264151,0.33333333333333337,713.3644853010899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,4.0,1325.0,200.0,2500.0,2300.0,0.4716981132075472,0.03773584905660377,0.25,917.5374651751284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,5.0,1060.0,200.0,2500.0,2300.0,0.4716981132075472,0.03773584905660377,0.2,952.0504188329523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,5.0,1060.0,200.0,2500.0,2300.0,0.4716981132075472,0.03773584905660377,0.2,828.4926070883191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,5.0,1060.0,300.0,2500.0,2200.0,0.4716981132075472,0.05660377358490566,0.2,816.3332652783421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2984582829040066,-0.0,0,5001,41
5300.0,4.0,1325.0,200.0,2400.0,2200.0,0.4528301886792453,0.03773584905660377,0.25,1028.0442597476044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2465199515878462,-0.0,0,5001,41
5300.0,4.0,1325.0,200.0,2400.0,2200.0,0.4528301886792453,0.03773584905660377,0.25,903.811374126261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2465199515878462,-0.0,0,5001,41
5300.0,5.0,1060.0,200.0,2400.0,2200.0,0.4528301886792453,0.03773584905660377,0.2,941.4881836751856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5154.285714285715,2.8,0.08163265306122448,1.0,0.8763657798782469,-0.8298571428571428,0.0,1.2465199515878462,-0.0,0,5001,41
